what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1274997508656
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1274997508656
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1274997508656
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1274997508656
started,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1274997508656
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1274997508656
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1274997508656
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1274997508656
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1274997508656
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1274997508656
started,bundle,com.python.pydev.analysis,1.5.6.2010033101,com.python.pydev.analysis,1274997508656
started,bundle,org.python.pydev,1.5.6.2010033101,org.python.pydev,1274997508656
started,bundle,org.python.pydev.core,1.5.6.2010033101,org.python.pydev.core,1274997508656
started,bundle,com.collabnet.subversion.merge,2.0.1,com.collabnet.subversion.merge,1274997508656
started,bundle,org.tigris.subversion.clientadapter,1.6.10,org.tigris.subversion.clientadapter,1274997508656
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,org.tigris.subversion.subclipse.core,1274997508656
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1274997508656
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,org.tigris.subversion.subclipse.ui,1274997508656
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1274997522250
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1274997522734
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1274997522734
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1274997522750
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1274997522750
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1274997522750
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1274997522750
